City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
249,Rockhampton,AU,-23.3833,150.5,73.56,94,100,5.93,light rain,2021-11-29 09:44:14
250,Katherine,AU,-14.4667,132.2667,93.07,18,46,3.13,scattered clouds,2021-11-29 09:44:14
251,Ixtapa,MX,20.7,-105.2,70.03,67,19,3.15,few clouds,2021-11-29 09:44:15
252,Padang,ID,-0.9492,100.3543,81.14,76,100,3.44,overcast clouds,2021-11-29 09:43:05
253,Santa Rita,BR,-7.1139,-34.9781,83.14,66,81,11.12,broken clouds,2021-11-29 09:44:15
254,Praia Da Vitoria,PT,38.7333,-27.0667,59.07,60,81,3.62,broken clouds,2021-11-29 09:44:16
255,Fontanka,UA,46.5626,30.8607,54.12,88,99,25.34,overcast clouds,2021-11-29 09:44:16
256,Nola,IT,40.922,14.5329,48.51,84,98,7.49,light rain,2021-11-29 09:44:17
257,Tecoanapa,MX,16.5167,-98.75,74.59,80,2,3.76,clear sky,2021-11-29 09:44:17
258,Los Llanos De Aridane,ES,28.6585,-17.9182,62.74,65,29,17.34,scattered clouds,2021-11-29 09:44:18
